#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","0.9.6","Column.java","toString","1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getDefaultString","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","isNotNullExplicit","1","1","3","1","0","2","1","0","1","0","0","0","no"
"1","0.9.6","Column.java","isAutoAssigned","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getDecimalDigits","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getTable","1","1","3","7","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Constraint.java","getTableName","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Constraint.java","getColumnName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Constraint.java","isLogical","1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","0.9.6","Constraint.java","getTable","1","1","3","4","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Constraint.java","getName","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Constraint.java","isDeferred","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Constraint.java","getSchemaName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FileSchemaFactory.java","getFile","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ForeignKey.java","getKeySequence","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ForeignKey.java","getDeleteAction","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ForeignKey.java","getUpdateAction","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ForeignKey.java","getPrimaryKeyColumnName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ForeignKey.java","getPrimaryKeyTable","1","1","3","5","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Index.java","isUnique","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","PrimaryKey.java","isLogical","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Schema.java","getSchemaGroup","1","1","3","5","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Schema.java","getName","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SchemaGroup.java","newInstance","1","1","3","1","1","1","1","0","0","0","0","0","no"
"1","0.9.6","Sequence.java","getSchemaName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Sequence.java","getName","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Sequence.java","getInitialValue","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Sequence.java","getIncrement","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Sequence.java","getAllocate","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Sequence.java","getSchema","1","1","3","3","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SimpleDriverDataSource.java","getConnectionURL","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SimpleDriverDataSource.java","getConnectionProperties","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SimpleDriverDataSource.java","getClassLoader","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SimpleDriverDataSource.java","getConnectionFactoryProperties","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SimpleDriverDataSource.java","getConnectionDriverName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SimpleDriverDataSource.java","getConnectionUserName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Table.java","getName","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Table.java","getSchemaName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Table.java","getPrimaryKey","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Table.java","getSchema","1","1","3","13","0","1","1","0","0","0","0","0","no"
"1","0.9.6","TableSchemaFactory.java","getSchemaColumn","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","TableSchemaFactory.java","getTable","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","TableSchemaFactory.java","getPrimaryKeyColumn","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","getObjectInternal","1","1","1","29","0","1","0","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","newJoins","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","containsInternal","1","1","1","3","0","1","0","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","supportsRandomAccess","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","close","1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","isLocking","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","nextInternal","1","1","1","1","0","1","0","0","0","0","0","0","no"
"1","0.9.6","AbstractResult.java","wasNull","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getRelationTarget","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getType","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getSubclasses","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getAlias1","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getAlias2","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getTable2","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getTable1","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Join.java","getRelationJoins","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JoinSet.java","size","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","PrimaryRow.java","isDependent","1","1","3","0","0","2","1","0","0","0","0","0","no"
"1","0.9.6","PrimaryRow.java","getIndex","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ResultSetResult.java","getResultSet","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ResultSetResult.java","getStore","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ResultSetResult.java","getStatement","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ResultSetResult.java","getDBDictionary","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","RowImpl.java","isValid","1","1","3","2","0","2","1","0","1","0","0","0","no"
"1","0.9.6","RowImpl.java","getPrimaryKey","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","RowImpl.java","getTable","1","1","3","7","0","1","1","0","0","0","0","0","no"
