@relation BOOKKEEPER_B

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","4","0","0","1","0","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"3","3","4","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"1","1","7","1","0","2","2","0","1","1","0","0","no"
"3","3","4","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"2","2","7","0","0","2","2","0","1","1","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"2","2","4","0","0","1","1","0","0","0","0","0","no"
"1","1","7","0","1","2","2","0","1","1","0","0","no"
"1","1","11","0","1","3","2","1","1","1","0","0","no"
"1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","1","6","1","0","3","2","0","0","1","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","25","0","2","4","1","0","2","1","2","0","no"
"1","1","16","2","0","1","0","0","0","0","0","0","no"
"1","1","29","1","0","1","0","0","0","0","0","0","no"
"1","1","8","0","0","2","0","0","1","1","0","0","yes"
"1","1","9","0","5","2","1","0","1","1","1","0","yes"
"1","1","17","0","1","3","2","0","0","2","1","0","no"
"1","1","4","0","1","1","0","0","0","0","1","0","no"
"0","0","4","1","0","1","0","0","0","0","0","0","no"
"1","1","26","1","1","6","1","0","2","2","4","0","no"
"1","1","5","0","0","1","1","0","0","0","0","0","no"
"1","1","8","1","0","2","1","0","0","1","1","0","no"
"1","1","10","0","0","4","3","0","2","1","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","yes"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","43","0","0","14","3","0","6","3","5","0","no"
"2","2","7","0","1","2","1","0","1","1","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","5","1","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","8","0","0","2","2","0","1","1","2","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","1","13","0","1","2","1","0","1","1","2","0","no"
"0","0","4","1","0","1","0","0","0","0","0","0","no"
"2","2","8","2","0","2","1","0","0","1","0","0","no"
"2","2","13","0","0","2","0","0","0","1","1","0","yes"
"1","1","33","1","1","7","2","0","1","3","1","0","no"
"1","1","14","1","0","3","0","0","0","1","3","0","no"
"5","5","38","0","6","4","0","1","1","2","0","0","yes"
"1","1","4","1","0","1","0","0","0","0","1","0","no"
"2","2","8","0","0","2","2","0","0","1","0","0","no"
"1","1","9","1","0","1","1","0","0","0","0","0","no"
"3","3","6","1","1","1","0","0","0","0","0","0","no"
"1","1","3","1","0","1","0","0","0","0","0","0","no"
"4","4","92","0","1","22","1","0","3","3","11","0","yes"
"0","0","10","0","0","2","0","0","1","1","0","0","no"
"1","1","7","0","1","2","0","0","1","1","1","0","no"
"1","1","1","1","0","1","0","0","0","0","0","0","no"
"2","2","7","0","7","2","0","0","1","1","1","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","5","1","1","2","1","0","1","1","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","2","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","1","4","1","0","2","0","0","1","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","5","0","0","1","0","0","0","1","0","0","no"
"1","1","12","0","8","2","1","0","1","1","6","0","no"
"1","1","3","2","0","2","1","0","1","0","0","0","no"
"1","1","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","5","1","1","2","1","0","1","1","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"0","0","2","1","0","1","0","0","0","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","11","0","0","3","0","0","0","1","1","0","yes"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","4","1","0","2","2","0","1","1","1","0","no"
"0","0","8","0","0","1","0","0","0","0","0","0","no"
"1","1","25","3","0","6","2","0","0","2","2","0","no"
"1","1","11","0","1","3","2","0","1","1","0","0","no"
"1","1","14","0","1","3","2","0","1","1","1","0","no"
"0","0","8","0","0","1","0","0","0","0","0","0","no"
"1","1","14","0","1","3","2","0","1","1","1","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","10","3","1","3","2","0","0","2","0","0","no"
"1","1","7","0","1","2","0","0","0","1","0","0","no"
"1","1","17","0","1","4","0","0","0","2","0","0","no"
"1","1","5","0","1","1","0","0","0","0","0","0","no"
"1","1","17","2","0","4","0","0","0","2","2","0","no"
"1","1","2","0","0","1","0","0","0","0","0","0","yes"
"1","1","3","1","0","1","0","0","0","0","0","0","no"
"2","2","14","0","1","5","1","0","0","1","1","0","no"
"2","2","7","0","0","2","1","0","0","1","1","0","no"
"0","0","6","1","0","2","2","0","1","1","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"0","0","9","0","0","3","0","1","0","1","0","0","no"
