#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","DigestManager.java","verifyDigest","1","1","24","2","2","6","0","1","3","2","7","18","no"
"1","4.0.0","DigestManager.java","getValueAndReset","1","1","1","2","0","1","0","0","0","0","0","1","no"
"1","4.0.0","DigestManager.java","verifyDigestAndReturnLastConfirmed","0","0","8","0","2","1","1","0","0","0","0","7","no"
"1","4.0.0","DigestManager.java","update","1","1","3","0","1","1","0","0","0","0","0","3","no"
"1","4.0.0","DigestManager.java","update","1","1","1","3","0","1","0","0","0","0","0","3","no"
"1","4.0.0","DigestManager.java","DigestManager","0","0","4","0","1","1","0","0","0","0","0","2","no"
"1","4.0.0","DigestManager.java","verifyDigest","1","1","3","1","1","1","0","0","0","0","0","18","no"
"1","4.0.0","DigestManager.java","computeDigestAndPackageForSending","2","2","17","0","2","1","1","0","0","0","1","20","no"
"1","4.0.0","DigestManager.java","instantiate","2","2","10","0","0","3","2","0","0","1","1","5","no"
"1","4.0.0","DistributionSchedule.java","getReplicaIndex","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","DistributionSchedule.java","canProceedWithRecovery","1","1","1","0","0","1","0","0","0","0","0","2","yes"
"1","4.0.0","DistributionSchedule.java","getBookieIndex","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerCreateOp.java","initiate","3","3","3","0","0","1","0","0","0","0","0","1","yes"
"1","4.0.0","LedgerCreateOp.java","processResult","5","5","4","0","0","1","0","0","0","0","0","5","yes"
"1","4.0.0","LedgerCreateOp.java","LedgerCreateOp","0","0","8","0","0","1","0","0","0","0","0","11","no"
"1","4.0.0","LedgerCreateOp.java","operationComplete","1","1","40","0","0","6","5","0","1","1","4","20","yes"
"1","4.0.0","LedgerDeleteOp.java","LedgerDeleteOp","0","0","6","0","0","1","0","0","0","0","0","7","no"
"1","4.0.0","LedgerDeleteOp.java","processResult","1","1","3","0","0","1","0","0","0","0","0","4","no"
"1","4.0.0","LedgerDeleteOp.java","initiate","2","2","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerEntry.java","LedgerEntry","0","0","4","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","LedgerEntry.java","getEntry","3","3","11","0","0","2","2","0","0","1","0","3","no"
"1","4.0.0","LedgerEntry.java","getEntryInputStream","2","2","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","LedgerHandle.java","safeRun","4","4","22","0","5","2","0","0","0","1","1","10","yes"
